Training on: NVIDIA A100-SXM4-80GB
GPUs used: 1
Train: 90,000 | Val: 10,000 | Benchmark: 10,000
Classes: 200
Teacher loaded and frozen.
Teacher: 23.9M params
Student: 11.3M params
Compression: 2.12x fewer params

Distilling ResNet50 -> ResNet18 | T=4.0 | alpha=0.7 | beta=2.0

 Epoch       LR  TrainLoss       KD     Feat   ValLoss   ValAcc    Img/s   PeakGB   Time
--------------------------------------------------------------------------------------------------------
     1  0.00020     2.3743   2.3729   0.0007    5.3505    0.53%     1167     7.00    77s
     2  0.00040     2.2650   2.2637   0.0007    5.1887    1.63%     1404     3.45    64s
     3  0.00060     2.1743   2.1730   0.0007    4.9411    5.85%     1432     3.45    63s
     4  0.00080     2.0401   2.0387   0.0007    4.5669   14.37%     1413     3.45    64s
     5  0.00100     1.8809   1.8795   0.0007    4.1417   24.40%     1435     3.45    63s
     6  0.00100     1.7375   1.7360   0.0007    3.8019   31.54%     1401     3.45    64s
     7  0.00100     1.6228   1.6214   0.0007    3.5275   38.24%     1393     3.45    65s
     8  0.00100     1.5275   1.5261   0.0007    3.3035   43.49%     1388     3.45    65s
     9  0.00100     1.4458   1.4444   0.0007    3.1190   47.83%     1382     3.45    65s
    10  0.00100     1.3791   1.3777   0.0007    2.9690   50.98%     1419     3.45    63s
    11  0.00099     1.3216   1.3202   0.0007    2.8468   53.51%     1438     3.45    62s
    12  0.00099     1.2739   1.2725   0.0007    2.7443   55.27%     1423     3.45    63s
    13  0.00099     1.2335   1.2321   0.0007    2.6589   56.96%     1433     3.45    63s
    14  0.00098     1.1996   1.1981   0.0007    2.5901   58.61%     1356     3.45    66s
    15  0.00098     1.1694   1.1679   0.0007    2.5309   59.31%     1368     3.45    66s
    16  0.00097     1.1438   1.1424   0.0007    2.4822   60.35%     1421     3.45    63s
    17  0.00097     1.1214   1.1200   0.0007    2.4398   61.24%     1413     3.45    64s
    18  0.00096     1.1014   1.1000   0.0007    2.4049   61.85%     1395     3.45    64s
    19  0.00095     1.0851   1.0837   0.0007    2.3712   62.59%     1411     3.45    64s
    20  0.00095     1.0693   1.0679   0.0007    2.3439   63.00%     1399     3.45    64s
    21  0.00094     1.0551   1.0537   0.0007    2.3168   63.72%     1432     3.45    63s
    22  0.00093     1.0432   1.0418   0.0007    2.2950   63.96%     1408     3.45    64s
    23  0.00092     1.0298   1.0284   0.0007    2.2771   64.49%     1441     3.45    62s
    24  0.00091     1.0191   1.0177   0.0007    2.2581   64.69%     1411     3.45    64s
    25  0.00090     1.0104   1.0090   0.0007    2.2392   65.10%     1395     3.45    64s
    26  0.00089     1.0012   0.9998   0.0007    2.2271   65.31%     1384     3.45    65s
    27  0.00088     0.9925   0.9910   0.0007    2.2140   65.64%     1477     3.45    61s
    28  0.00087     0.9836   0.9821   0.0007    2.1998   65.97%     1514     3.45    59s
    29  0.00086     0.9771   0.9757   0.0007    2.1872   65.99%     1507     3.45    60s
    30  0.00085     0.9695   0.9680   0.0007    2.1747   66.23%     1487     3.45    60s
    31  0.00084     0.9642   0.9627   0.0007    2.1640   66.68%     1499     3.45    60s
    32  0.00082     0.9576   0.9562   0.0007    2.1544   66.68%     1508     3.45    60s
    33  0.00081     0.9496   0.9482   0.0007    2.1462   66.82%     1498     3.45    60s
    34  0.00080     0.9448   0.9434   0.0007    2.1387   67.00%     1506     3.45    60s
    35  0.00078     0.9418   0.9404   0.0007    2.1307   67.25%     1499     3.45    60s
    36  0.00077     0.9353   0.9339   0.0007    2.1260   67.21%     1506     3.45    60s
    37  0.00075     0.9323   0.9309   0.0007    2.1208   67.50%     1502     3.45    60s
    38  0.00074     0.9278   0.9264   0.0007    2.1107   67.74%     1508     3.45    60s
    39  0.00073     0.9241   0.9227   0.0007    2.1050   67.85%     1510     3.45    60s
    40  0.00071     0.9190   0.9176   0.0007    2.1024   67.83%     1514     3.45    59s
    41  0.00070     0.9149   0.9135   0.0007    2.0926   68.07%     1511     3.45    59s
    42  0.00068     0.9127   0.9113   0.0007    2.0911   68.02%     1502     3.45    60s
    43  0.00066     0.9088   0.9074   0.0007    2.0865   68.09%     1501     3.45    60s
    44  0.00065     0.9067   0.9053   0.0007    2.0823   68.23%     1507     3.45    60s
    45  0.00063     0.9030   0.9016   0.0007    2.0785   68.15%     1502     3.45    60s
    46  0.00062     0.8993   0.8979   0.0007    2.0751   68.35%     1514     3.45    59s
    47  0.00060     0.8968   0.8954   0.0007    2.0698   68.36%     1509     3.45    60s
    48  0.00058     0.8934   0.8920   0.0007    2.0645   68.58%     1497     3.45    60s
    49  0.00057     0.8924   0.8910   0.0007    2.0630   68.55%     1497     3.45    60s
    50  0.00055     0.8907   0.8893   0.0007    2.0577   68.68%     1504     3.45    60s
    51  0.00053     0.8873   0.8859   0.0007    2.0561   68.70%     1500     3.45    60s
    52  0.00052     0.8851   0.8837   0.0007    2.0530   68.70%     1505     3.45    60s
    53  0.00050     0.8825   0.8811   0.0007    2.0503   68.86%     1506     3.45    60s
    54  0.00048     0.8806   0.8791   0.0007    2.0480   68.95%     1497     3.45    60s
    55  0.00047     0.8796   0.8781   0.0007    2.0460   69.08%     1504     3.45    60s
    56  0.00045     0.8773   0.8759   0.0007    2.0452   68.93%     1508     3.45    60s
    57  0.00043     0.8766   0.8751   0.0007    2.0412   68.99%     1496     3.45    60s
    58  0.00042     0.8742   0.8728   0.0007    2.0394   69.00%     1503     3.45    60s
    59  0.00040     0.8734   0.8720   0.0007    2.0381   69.01%     1497     3.45    60s
    60  0.00038     0.8723   0.8709   0.0007    2.0381   68.99%     1499     3.45    60s
    61  0.00037     0.8691   0.8677   0.0007    2.0342   69.07%     1495     3.45    60s
    62  0.00035     0.8684   0.8670   0.0007    2.0339   69.05%     1500     3.45    60s
    63  0.00034     0.8680   0.8666   0.0007    2.0305   69.17%     1494     3.45    60s
    64  0.00032     0.8658   0.8644   0.0007    2.0293   69.32%     1506     3.45    60s
    65  0.00030     0.8654   0.8640   0.0007    2.0289   69.10%     1508     3.45    60s
    66  0.00029     0.8631   0.8617   0.0007    2.0305   69.20%     1503     3.45    60s
    67  0.00027     0.8627   0.8613   0.0007    2.0273   69.36%     1507     3.45    60s
    68  0.00026     0.8622   0.8608   0.0007    2.0258   69.21%     1504     3.45    60s
    69  0.00025     0.8615   0.8601   0.0007    2.0258   69.30%     1500     3.45    60s
    70  0.00023     0.8610   0.8595   0.0007    2.0225   69.25%     1502     3.45    60s
    71  0.00022     0.8594   0.8580   0.0007    2.0237   69.28%     1506     3.45    60s
    72  0.00020     0.8582   0.8568   0.0007    2.0193   69.21%     1500     3.45    60s
    73  0.00019     0.8583   0.8569   0.0007    2.0213   69.39%     1500     3.45    60s
    74  0.00018     0.8578   0.8563   0.0007    2.0212   69.35%     1445     3.45    62s
    75  0.00016     0.8564   0.8550   0.0007    2.0220   69.40%     1500     3.45    60s
    76  0.00015     0.8556   0.8541   0.0007    2.0185   69.38%     1497     3.45    60s
    77  0.00014     0.8573   0.8558   0.0007    2.0197   69.44%     1500     3.45    60s
    78  0.00013     0.8566   0.8552   0.0007    2.0163   69.34%     1505     3.45    60s
    79  0.00012     0.8545   0.8531   0.0007    2.0156   69.57%     1504     3.45    60s
    80  0.00011     0.8546   0.8532   0.0007    2.0188   69.30%     1498     3.45    60s
    81  0.00010     0.8549   0.8534   0.0007    2.0172   69.35%     1504     3.45    60s
    82  0.00009     0.8549   0.8534   0.0007    2.0183   69.24%     1496     3.45    60s
    83  0.00008     0.8546   0.8531   0.0007    2.0177   69.50%     1509     3.45    60s
    84  0.00007     0.8535   0.8521   0.0007    2.0156   69.33%     1483     3.45    61s
    85  0.00006     0.8534   0.8519   0.0007    2.0159   69.39%     1496     3.45    60s
    86  0.00005     0.8534   0.8520   0.0007    2.0154   69.43%     1496     3.45    60s
    87  0.00005     0.8524   0.8510   0.0007    2.0151   69.44%     1507     3.45    60s
    88  0.00004     0.8526   0.8511   0.0007    2.0144   69.48%     1500     3.45    60s
