Training on: NVIDIA A100-SXM4-80GB
GPUs used: 1
Train: 90,000 | Val: 10,000 | Benchmark: 10,000
Classes: 200
ResNet50 params: 23.9M

 Epoch         LR  TrainLoss   ValLoss   ValAcc    Img/s   PeakGB   Time
------------------------------------------------------------------------------
     1    0.00020     5.2962    5.2837    0.88%     1179    17.44    76s
     2    0.00040     5.2560    5.2238    3.41%     1502    10.93    60s
     3    0.00060     5.1506    5.0698   12.76%     1498    10.93    60s
     4    0.00080     4.8895    4.6721   27.60%     1502    10.93    60s
     5    0.00100     4.3300    3.8655   39.85%     1500    10.93    60s
     6    0.00100     3.6033    3.1455   49.93%     1500    10.93    60s
     7    0.00100     3.0620    2.7016   57.31%     1506    10.93    60s
     8    0.00100     2.7098    2.4208   62.34%     1498    10.93    60s
     9    0.00100     2.4784    2.2425   65.64%     1504    10.93    60s
    10    0.00100     2.3235    2.1157   68.23%     1503    10.93    60s
    11    0.00100     2.2052    2.0275   69.51%     1494    10.93    60s
    12    0.00100     2.1188    1.9549   71.05%     1506    10.93    60s
    13    0.00100     2.0486    1.9003   72.19%     1495    10.93    60s
    14    0.00100     1.9900    1.8541   73.21%     1495    10.93    60s
    15    0.00099     1.9365    1.8141   74.07%     1493    10.93    60s
    16    0.00099     1.8970    1.7838   74.66%     1500    10.93    60s
    17    0.00099     1.8627    1.7569   75.35%     1489    10.93    60s
    18    0.00099     1.8322    1.7333   75.74%     1503    10.93    60s
    19    0.00099     1.8044    1.7157   76.30%     1499    10.93    60s
    20    0.00099     1.7758    1.6969   76.60%     1500    10.93    60s
    21    0.00099     1.7570    1.6812   76.80%     1499    10.93    60s
    22    0.00098     1.7386    1.6669   77.22%     1429    10.93    63s
    23    0.00098     1.7150    1.6540   77.51%     1501    10.93    60s
    24    0.00098     1.7006    1.6422   77.50%     1504    10.93    60s
    25    0.00098     1.6856    1.6332   77.81%     1505    10.93    60s
    26    0.00097     1.6705    1.6221   78.09%     1492    10.93    60s
    27    0.00097     1.6587    1.6137   78.25%     1501    10.93    60s
    28    0.00097     1.6430    1.6046   78.61%     1497    10.93    60s
    29    0.00097     1.6312    1.5979   78.71%     1500    10.93    60s
    30    0.00096     1.6202    1.5917   79.01%     1501    10.93    60s
    31    0.00096     1.6068    1.5843   79.00%     1504    10.93    60s
    32    0.00096     1.5981    1.5818   79.10%     1500    10.93    60s
    33    0.00095     1.5890    1.5727   79.37%     1502    10.93    60s
    34    0.00095     1.5822    1.5681   79.38%     1498    10.93    60s
    35    0.00095     1.5701    1.5634   79.51%     1504    10.93    60s
    36    0.00094     1.5624    1.5588   79.83%     1502    10.93    60s
    37    0.00094     1.5556    1.5534   79.81%     1503    10.93    60s
    38    0.00093     1.5483    1.5486   80.06%     1502    10.93    60s
    39    0.00093     1.5390    1.5467   80.06%     1499    10.93    60s
    40    0.00093     1.5329    1.5413   80.14%     1497    10.93    60s
    41    0.00092     1.5251    1.5398   80.31%     1501    10.93    60s
    42    0.00092     1.5194    1.5371   80.12%     1501    10.93    60s
    43    0.00091     1.5115    1.5332   80.45%     1494    10.93    60s
    44    0.00091     1.5065    1.5308   80.50%     1485    10.93    61s
    45    0.00090     1.5003    1.5287   80.41%     1413    10.93    64s
    46    0.00090     1.4924    1.5250   80.64%     1500    10.93    60s
    47    0.00089     1.4879    1.5219   80.62%     1466    10.93    61s
    48    0.00089     1.4814    1.5188   80.74%     1500    10.93    60s
    49    0.00088     1.4736    1.5172   80.69%     1465    10.93    61s
    50    0.00088     1.4700    1.5142   80.72%     1494    10.93    60s
    51    0.00087     1.4665    1.5116   80.76%     1497    10.93    60s
    52    0.00087     1.4612    1.5105   80.90%     1496    10.93    60s
    53    0.00086     1.4550    1.5077   80.96%     1500    10.93    60s
    54    0.00086     1.4525    1.5069   80.84%     1504    10.93    60s
    55    0.00085     1.4431    1.5048   81.07%     1504    10.93    60s
    56    0.00084     1.4413    1.5036   80.90%     1500    10.93    60s
    57    0.00084     1.4357    1.5027   80.94%     1503    10.93    60s
    58    0.00083     1.4310    1.5003   81.12%     1497    10.93    60s
    59    0.00083     1.4283    1.4997   81.14%     1498    10.93    60s
    60    0.00082     1.4247    1.4976   81.10%     1498    10.93    60s
    61    0.00081     1.4192    1.4969   81.17%     1494    10.93    60s
    62    0.00081     1.4140    1.4948   81.26%     1502    10.93    60s
    63    0.00080     1.4125    1.4921   81.23%     1502    10.93    60s
    64    0.00080     1.4102    1.4922   81.31%     1415    10.93    63s
    65    0.00079     1.4037    1.4912   81.24%     1487    10.93    60s
    66    0.00078     1.3995    1.4884   81.34%     1500    10.93    60s
    67    0.00078     1.3933    1.4878   81.40%     1497    10.93    60s
    68    0.00077     1.3915    1.4866   81.34%     1500    10.93    60s
    69    0.00076     1.3889    1.4852   81.25%     1499    10.93    60s
    70    0.00075     1.3877    1.4851   81.35%     1500    10.93    60s
    71    0.00075     1.3819    1.4844   81.40%     1498    10.93    60s
    72    0.00074     1.3801    1.4824   81.42%     1500    10.93    60s
    73    0.00073     1.3764    1.4828   81.32%     1505    10.93    60s
    74    0.00073     1.3761    1.4805   81.49%     1500    10.93    60s
    75    0.00072     1.3733    1.4810   81.53%     1491    10.93    60s
    76    0.00071     1.3651    1.4807   81.55%     1498    10.93    60s
    77    0.00070     1.3660    1.4796   81.52%     1498    10.93    60s
    78    0.00070     1.3608    1.4772   81.59%     1501    10.93    60s
    79    0.00069     1.3611    1.4781   81.42%     1505    10.93    60s
    80    0.00068     1.3571    1.4759   81.61%     1492    10.93    60s
    81    0.00067     1.3535    1.4763   81.47%     1414    10.93    64s
    82    0.00067     1.3513    1.4765   81.52%     1499    10.93    60s
    83    0.00066     1.3472    1.4744   81.73%     1474    10.93    61s
    84    0.00065     1.3463    1.4742   81.59%     1502    10.93    60s
    85    0.00064     1.3435    1.4738   81.45%     1476    10.93    61s
    86    0.00064     1.3385    1.4730   81.60%     1506    10.93    60s
    87    0.00063     1.3379    1.4722   81.62%     1484    10.93    61s
    88    0.00062     1.3339    1.4725   81.65%     1500    10.93    60s
    89    0.00061     1.3338    1.4711   81.72%     1503    10.93    60s
    90    0.00060     1.3317    1.4702   81.74%     1503    10.93    60s
    91    0.00060     1.3281    1.4704   81.68%     1495    10.93    60s
    92    0.00059     1.3278    1.4687   81.74%     1497    10.93    60s
    93    0.00058     1.3252    1.4693   81.75%     1500    10.93    60s
    94    0.00057     1.3220    1.4685   81.71%     1504    10.93    60s
